date,ew_price,idxx_price,moh_price,mrna_price,unh_price,amgn_price,bmy_price,zbh_price,rmd_price,ste_price,iqv_price,vrtx_price,dva_price,syk_price,bdx_price,hsic_price,jnj_price,lh_price,vtrs_price,rvty_price,coo_price,cvs_price,regn_price,dgx_price,hca_price,wat_price,bax_price,mck_price,holx_price,wst_price,cah_price,dxcm_price,ci_price,uhs_price,mdt_price,abt_price,biib_price,tmo_price,pfe_price,lly_price,bsx_price,algn_price,zts_price,isrg_price,mtd_price,gehc_price,incy_price,mrk_price,a_price,abbv_price,solv_price,cnc_price,cor_price,dhr_price,crl_price,hum_price,elv_price,podd_price,gild_price,tech_price,xlv_calculated_price
2025-09-10,78.28,637.95,179.15,24.31,346.78,278.51,47.15,102.30,270.47,243.83,183.87,388.55,132.26,382.97,188.43,67.41,175.79,272.94,10.24,82.50,67.66,73.97,555.83,180.14,394.36,293.03,23.98,706.25,65.51,255.22,149.29,76.00,302.44,186.06,92.32,129.36,142.61,476.54,24.57,754.62,105.23,132.94,149.42,449.98,1252.87,75.99,86.25,84.03,124.12,211.64,71.22,31.27,296.32,192.59,153.27,273.58,306.75,337.61,115.25,50.96,137.01
2025-09-11,78.01,645.16,188.44,25.39,353.61,282.73,47.54,104.26,274.61,252.43,190.69,397.37,133.24,388.79,190.56,69.55,178.50,279.72,10.17,85.68,68.46,74.67,568.20,183.46,402.85,302.45,24.49,719.80,66.38,263.74,152.47,76.00,305.87,190.79,94.25,132.65,148.84,491.41,24.86,756.28,104.34,135.91,150.61,455.85,1282.72,77.96,86.17,85.15,126.73,220.22,73.79,34.08,302.80,195.16,159.74,278.72,314.89,337.94,117.86,53.21,139.68
2025-09-12,77.57,641.14,180.88,23.51,352.51,276.39,46.20,103.08,270.14,249.88,187.22,394.53,133.17,383.34,186.84,69.01,178.06,277.95,9.96,82.87,66.68,74.98,560.00,182.91,405.13,295.39,23.99,711.42,64.45,253.50,152.24,76.22,302.76,191.72,94.03,133.73,144.86,479.46,23.87,755.39,102.71,131.56,148.20,449.68,1259.54,76.44,83.10,82.81,123.24,218.34,73.39,33.26,302.52,190.05,152.89,276.44,311.76,341.78,114.55,51.26,137.75
2025-09-15,76.05,643.99,176.11,23.88,347.89,274.40,46.35,100.96,271.19,247.81,185.97,393.21,130.95,377.11,185.74,68.81,177.40,275.40,9.60,84.00,65.48,73.46,572.59,180.62,403.17,299.04,23.80,702.88,63.80,257.53,150.27,75.58,297.14,189.58,93.43,131.33,143.32,474.46,23.97,748.19,99.87,131.06,146.25,433.99,1260.13,77.76,83.14,81.02,125.63,217.61,73.21,32.64,291.40,188.54,152.24,275.42,306.91,340.29,112.54,51.62,135.68
2025-09-16,75.09,645.65,176.45,24.84,339.78,273.08,46.34,99.12,272.60,247.99,186.81,391.36,130.11,376.62,186.21,68.39,176.46,274.09,9.56,85.28,65.16,73.48,575.06,180.16,399.75,303.08,23.87,693.45,63.33,258.35,148.37,76.55,294.21,186.26,94.19,132.76,143.68,480.74,23.90,764.71,98.98,131.82,147.46,434.50,1276.10,77.48,83.90,81.09,127.19,216.26,74.13,31.80,290.00,190.47,151.60,272.32,310.00,332.13,110.86,51.78,135.27
2025-09-17,75.20,640.86,176.32,25.00,341.61,274.71,46.15,99.92,271.71,248.79,186.69,387.15,128.00,376.88,187.57,67.37,177.20,276.07,9.62,85.39,64.32,74.00,585.50,182.25,399.39,303.68,23.20,692.24,68.20,256.64,148.68,76.44,296.59,187.39,94.58,134.17,144.87,472.64,24.05,760.13,98.50,129.44,146.93,433.66,1273.96,76.63,84.80,81.14,126.72,220.81,74.07,32.02,289.08,192.94,152.72,269.39,308.48,322.22,112.26,51.52,136.85
2025-09-18,74.55,655.51,179.71,25.45,334.82,275.83,45.60,100.21,273.29,250.50,190.20,387.11,130.23,377.84,188.37,68.55,174.16,277.15,9.86,87.76,67.22,74.42,598.71,183.33,401.06,306.38,23.69,690.13,68.27,254.98,150.04,75.78,293.76,188.11,95.59,134.57,143.81,481.10,24.15,762.93,98.23,132.57,147.10,435.83,1287.10,74.00,86.00,81.53,127.62,221.99,74.37,32.17,290.84,195.27,156.99,264.86,315.77,333.51,113.62,52.99,136.93
2025-09-19,74.41,656.16,175.14,25.24,336.69,285.41,45.02,100.09,273.19,248.78,187.22,383.12,130.16,376.83,187.04,67.86,176.19,277.27,9.90,86.72,68.17,74.92,591.99,183.60,402.30,300.87,23.02,698.31,66.33,254.85,149.60,67.45,290.36,188.64,95.08,136.04,142.50,479.58,24.03,751.99,97.83,131.39,145.88,438.72,1265.59,74.91,86.53,81.51,126.32,222.47,73.72,31.77,290.02,193.29,155.39,252.66,313.71,330.84,114.09,53.15,135.33
2025-09-22,73.75,644.10,181.87,26.56,341.30,286.00,44.98,101.74,274.41,249.71,187.83,383.13,131.15,378.22,186.55,67.92,174.21,278.90,9.79,86.27,68.00,75.13,595.68,184.69,407.24,302.48,22.81,697.00,67.29,252.22,147.47,69.51,288.62,194.16,94.62,136.62,140.66,474.99,24.04,754.95,97.03,131.18,144.65,444.55,1258.05,74.77,84.73,80.40,126.33,222.59,73.76,32.70,288.79,190.46,153.89,257.87,317.89,335.12,112.49,53.04,136.38
2025-09-23,74.57,648.38,182.56,25.79,347.69,286.81,44.91,100.29,275.61,249.23,186.45,379.72,132.83,373.52,186.52,69.21,176.58,279.94,9.60,85.71,67.50,76.50,567.89,186.97,409.45,299.22,22.86,741.31,67.64,250.80,154.62,68.20,290.08,194.72,94.96,135.89,139.31,469.75,24.13,746.98,97.69,129.00,142.61,447.75,1257.03,74.60,84.54,79.96,125.94,222.61,73.39,32.75,302.40,189.72,150.25,258.32,323.73,327.80,114.40,52.92,137.27
2025-09-24,74.66,627.17,190.71,25.88,351.81,279.22,44.16,98.98,274.19,245.99,181.24,376.62,133.62,371.22,186.05,67.75,176.69,279.35,9.71,84.49,68.35,76.38,576.98,186.82,416.62,292.65,22.56,760.58,66.40,259.94,154.58,67.50,291.43,199.70,95.74,133.89,137.67,468.00,24.09,741.85,98.06,128.18,141.67,443.99,1242.28,73.98,84.16,79.67,124.38,219.99,71.82,34.65,308.36,185.91,149.45,261.97,326.38,326.97,113.67,51.22,135.88
2025-09-25,75.27,618.17,189.30,24.61,345.56,271.18,43.41,96.97,267.31,244.19,176.69,381.87,130.27,368.57,180.59,65.64,177.73,276.14,9.49,83.04,66.89,74.61,555.51,185.39,414.89,287.79,21.71,736.52,65.79,254.48,148.96,68.30,284.06,197.62,94.30,133.31,135.67,459.22,23.60,714.59,98.14,124.88,141.13,438.12,1209.54,71.50,81.66,77.60,121.89,218.54,70.46,34.39,298.82,181.46,145.57,254.43,316.70,323.58,110.99,50.48,133.14
2025-09-26,76.25,632.22,191.98,24.49,344.08,272.98,44.12,98.24,270.27,249.08,179.56,385.74,130.80,369.02,184.60,66.06,179.71,280.61,9.52,84.06,67.55,75.77,563.90,188.99,419.08,291.71,21.98,760.55,67.21,261.52,153.71,67.10,286.17,200.85,94.22,133.55,137.37,464.24,23.76,724.54,98.18,126.19,143.50,441.12,1204.43,72.46,82.70,78.56,123.39,220.61,71.37,34.86,307.00,184.84,148.56,254.95,318.61,318.00,112.10,51.85,135.65
2025-09-29,77.19,630.56,192.95,25.33,345.18,273.97,44.15,98.28,271.05,245.37,180.72,395.31,130.59,369.88,184.00,66.05,181.62,282.75,9.62,84.20,67.67,75.57,560.75,188.84,420.92,289.43,22.38,761.82,67.15,260.32,154.57,66.46,286.64,201.07,93.97,133.11,138.52,462.04,23.85,726.51,97.04,126.37,143.06,439.22,1191.36,73.09,83.89,78.58,123.75,223.16,72.21,35.21,308.07,186.06,146.99,255.23,319.69,310.62,112.62,52.23,135.81
2025-09-30,77.77,638.89,191.36,25.83,345.30,282.20,45.10,98.50,273.73,247.44,189.94,391.64,132.87,369.67,187.17,66.37,185.42,287.06,9.90,87.65,68.56,75.39,562.27,190.58,426.20,299.81,22.77,772.54,67.49,262.33,156.96,67.29,288.25,204.44,95.24,133.94,140.08,485.02,25.48,763.00,97.63,125.22,146.32,447.23,1227.61,75.10,84.81,83.93,128.35,231.54,73.00,35.68,312.53,198.26,156.46,260.17,323.12,308.73,111.00,55.63,140.62
2025-10-01,76.31,620.11,192.79,27.60,348.30,298.50,47.43,98.89,270.85,241.30,203.79,404.21,132.87,364.15,190.94,65.60,186.05,279.06,10.09,91.76,68.07,76.87,599.94,182.07,426.07,319.81,23.36,765.08,67.04,271.42,157.93,66.08,291.65,203.51,94.81,133.47,154.22,530.73,27.21,825.42,95.85,127.52,146.95,438.04,1289.82,75.51,86.70,90.13,138.58,244.38,73.04,35.74,311.77,212.88,170.48,246.77,332.66,305.98,111.15,59.92,143.79
2025-10-02,76.65,633.84,194.25,28.37,353.72,297.40,45.73,99.17,276.64,242.40,204.34,408.85,132.10,366.40,191.60,66.03,185.98,279.44,10.11,91.46,69.12,77.45,600.00,180.96,426.69,321.92,23.23,758.70,67.91,273.16,158.46,66.44,296.98,205.54,95.48,132.99,155.25,524.96,27.08,819.85,96.22,128.70,146.49,443.01,1300.54,76.82,86.28,89.51,138.70,236.56,74.60,36.82,308.57,210.33,175.36,256.62,340.24,312.21,110.56,62.09,143.26
2025-10-03,77.07,631.19,201.97,28.49,360.20,297.89,45.45,100.78,278.59,242.50,206.63,403.30,131.16,370.50,193.61,67.03,188.64,276.94,10.19,94.05,70.46,77.49,600.00,179.33,429.54,328.39,23.86,738.06,68.22,272.56,154.46,67.05,311.00,207.24,97.70,134.59,159.88,543.32,27.37,839.87,97.32,132.17,146.42,452.35,1314.04,76.56,86.85,89.19,141.64,233.91,74.00,38.70,302.76,214.99,177.33,283.72,350.50,309.12,112.69,62.95,145.22
